reward,average reward,10 episode average reward
-101,-101.0,-101.0
-92,-96.5,-96.5
-110,-101.0,-101.0
-111,-103.5,-103.5
-108,-104.4,-104.4
-115,-106.16666666666667,-106.16666666666667
-107,-106.28571428571429,-106.28571428571429
-108,-106.5,-106.5
-92,-104.88888888888889,-104.88888888888889
-110,-105.4,-105.4
-92,-104.18181818181819,-104.18181818181819
-91,-103.08333333333333,-103.08333333333333
-95,-102.46153846153847,-102.46153846153847
-88,-101.42857142857143,-101.42857142857143
-108,-101.86666666666666,-101.86666666666666
175,-84.5625,-84.5625
-86,-84.6470588235294,-84.6470588235294
45,-77.44444444444444,-77.44444444444444
-52,-76.10526315789474,-76.10526315789474
-65,-75.55,-75.55
-103,-76.85714285714286,-76.85714285714286
-60,-76.0909090909091,-76.0909090909091
-88,-76.6086956521739,-76.6086956521739
-60,-75.91666666666667,-75.91666666666667
-85,-76.28,-76.28
37,-71.92307692307692,-71.92307692307692
-50,-71.11111111111111,-71.11111111111111
-85,-71.60714285714286,-71.60714285714286
7,-68.89655172413794,-68.89655172413794
-95,-69.76666666666667,-69.76666666666667
24,-66.74193548387096,-66.74193548387096
126,-60.71875,-60.71875
-54,-60.515151515151516,-60.515151515151516
273,-50.705882352941174,-50.705882352941174
262,-41.77142857142857,-41.77142857142857
-57,-42.19444444444444,-42.19444444444444
-21,-41.62162162162162,-41.62162162162162
258,-33.73684210526316,-33.73684210526316
413,-22.28205128205128,-22.28205128205128
32,-20.925,-20.925
80,-18.463414634146343,-18.463414634146343
162,-14.166666666666666,-14.166666666666666
-52,-15.046511627906977,-15.046511627906977
-2,-14.75,-14.75
189,-10.222222222222221,-10.222222222222221
-38,-10.826086956521738,-10.826086956521738
-1,-10.617021276595745,-10.617021276595745
-36,-11.145833333333334,-11.145833333333334
-64,-12.224489795918368,-12.224489795918368
18,-11.62,-11.62
-73,-12.823529411764707,-12.823529411764707
-74,-14.0,-14.0
-58,-14.830188679245284,-14.830188679245284
80,-13.074074074074074,-13.074074074074074
-22,-13.236363636363636,-13.236363636363636
53,-12.053571428571429,-12.053571428571429
548,-2.2280701754385963,-2.2280701754385963
366,4.120689655172414,4.120689655172414
396,10.76271186440678,10.76271186440678
68,11.716666666666667,11.716666666666667
-37,10.918032786885245,10.918032786885245
107,12.46774193548387,12.46774193548387
-55,11.396825396825397,11.396825396825397
163,13.765625,13.765625
209,16.76923076923077,16.76923076923077
63,17.46969696969697,17.46969696969697
129,19.134328358208954,19.134328358208954
197,21.75,21.75
-79,20.28985507246377,20.28985507246377
-79,18.87142857142857,18.87142857142857
-60,17.760563380281692,17.760563380281692
-41,16.944444444444443,16.944444444444443
181,19.19178082191781,19.19178082191781
-81,17.83783783783784,17.83783783783784
60,18.4,18.4
39,18.67105263157895,18.67105263157895
-81,17.376623376623378,17.376623376623378
30,17.53846153846154,17.53846153846154
-87,16.21518987341772,16.21518987341772
-74,15.0875,15.0875
-93,13.753086419753087,13.753086419753087
-79,12.621951219512194,12.621951219512194
-45,11.927710843373495,11.927710843373495
-83,10.797619047619047,10.797619047619047
-85,9.670588235294117,9.670588235294117
-62,8.837209302325581,8.837209302325581
-75,7.873563218390805,7.873563218390805
-42,7.306818181818182,7.306818181818182
-57,6.584269662921348,6.584269662921348
12,6.644444444444445,6.644444444444445
15,6.736263736263736,6.736263736263736
9,6.760869565217392,6.760869565217392
-78,5.849462365591398,5.849462365591398
-89,4.840425531914893,4.840425531914893
-120,3.526315789473684,3.526315789473684
30,3.8020833333333335,3.8020833333333335
-93,2.804123711340206,2.804123711340206
-70,2.061224489795918,2.061224489795918
-26,1.7777777777777777,1.7777777777777777
-66,1.1,1.1
